x,y,z
13746.1,3715.17,1756.45
13839,3715.17,1757.31
13931.9,3808.05,1759.9
14024.8,3900.93,1761.23
14117.6,3900.93,1763.36
14210.5,3993.81,1764.42
14303.4,4086.69,1768.68
14303.4,4179.57,1770.47
14396.3,4272.45,1775.06
14489.2,4365.33,1777.25
14582,4458.2,1777.32
14674.9,4551.08,1783.7
14767.8,4643.96,1789.02
14860.7,4736.84,1792.34
14860.7,4829.72,1797.39
14767.8,4922.6,1801.84
14860.7,4922.6,1804.1
14860.7,5015.48,1808.62
14767.8,5108.36,1815.27
14674.9,5108.36,1823.71
14674.9,5201.24,1826.04
14767.8,5294.12,1837.27
14860.7,5387,1843.59
14860.7,5294.12,1847.11
14953.6,5387,1853.56
15046.4,5479.88,1857.41
15139.3,5387,1860.07
15139.3,5479.88,1862.13
15139.3,5572.76,1871.5
15232.2,5479.88,1874.83
15232.2,5572.76,1877.49
15232.2,5665.63,1889.98
15139.3,5758.51,1903.81
15232.2,5851.39,1912.58
15325.1,5758.51,1928.87
15325.1,5851.39,1926.87
15325.1,5944.27,1932.26
15232.2,5944.27,1944.55
15325.1,6037.15,1957.45
15418,6130.03,1974.66
15510.8,6037.15,1980.44
15510.8,6130.03,1988.09
15418,6222.91,1993.41
15510.8,6222.91,1994.8
15603.7,6130.03,2010.82
15603.7,6222.91,2018.66
15696.6,6130.03,2041.66
15696.6,6037.15,2058.01
15789.5,6130.03,2077.22
15789.5,6222.91,2088.19
15882.4,6130.03,2112.38
15882.4,6037.15,2131.93
15882.4,5944.27,2136.98
15882.4,5851.39,2150.34
15882.4,5758.51,2163.56
15882.4,5665.63,2165.03
15882.4,5572.76,2181.44
15975.2,5665.63,2191.15
15975.2,5758.51,2207.17
16068.1,5665.63,2214.48
15975.2,5572.76,2228.37
16068.1,5479.88,2248.05
16068.1,5572.76,2259.01
16161,5572.76,2269.05
16253.9,5572.76,2260.28
16346.7,5572.76,2263.93
16439.6,5572.76,2279.62
16532.5,5479.88,2284.87
16439.6,5479.88,2291.85
16532.5,5572.76,2292.78
16625.4,5479.88,2300.62
16625.4,5572.76,2313.78
16532.5,5665.63,2336.71
16625.4,5665.63,2355.79
16718.3,5572.76,2362.11
16811.1,5479.88,2386.7
16904,5387,2384.31
16904,5294.12,2393.35
16996.9,5294.12,2398.46
16996.9,5387,2401.45
16904,5479.88,2406.91
16996.9,5479.88,2426.11
16904,5572.76,2442
16996.9,5572.76,2457.82
16904,5665.63,2483.14
16811.1,5758.51,2494.58
16718.3,5851.39,2491.85
16625.4,5944.27,2511.33
16532.5,6037.15,2511.13
16532.5,6130.03,2507.01
16532.5,6222.91,2508.27
16532.5,6315.79,2521.56
16625.4,6408.67,2539.24
16532.5,6408.67,2541.1
16625.4,6501.55,2522.56
16625.4,6594.43,2520.23
16718.3,6687.31,2514.58
16718.3,6594.43,2501.49
16718.3,6501.55,2497.17
16811.1,6594.43,2484.41
16904,6594.43,2473.84
16996.9,6687.31,2470.98
16996.9,6594.43,2460.88
17089.8,6687.31,2459.68
17182.7,6687.31,2449.78
17275.5,6780.19,2447.05
17275.5,6873.07,2443.86
17368.4,6780.19,2431.3
17461.3,6780.19,2428.04
17554.2,6780.19,2419.14
17647.1,6780.19,2408.23
17554.2,6687.31,2393.81
17461.3,6594.43,2385.77
17554.2,6594.43,2376.46
17647.1,6594.43,2368.62
17739.9,6594.43,2357.39
17832.8,6687.31,2349.08
17832.8,6594.43,2338.64
17739.9,6501.55,2331.6
17832.8,6501.55,2318.5
17925.7,6594.43,2313.12
17925.7,6501.55,2295.77
17832.8,6408.67,2283.54
17739.9,6408.67,2286.53
17647.1,6408.67,2291.12
17554.2,6408.67,2294.84
17461.3,6408.67,2287.86
17368.4,6408.67,2290.52
17275.5,6315.79,2273.04
17368.4,6222.91,2271.11
17368.4,6315.79,2249.24
17461.3,6222.91,2240.47
17554.2,6315.79,2240.27
17647.1,6315.79,2229.57
17739.9,6315.79,2222.12
17647.1,6222.91,2203.71
17739.9,6222.91,2194.94
17832.8,6222.91,2182.77
17925.7,6222.91,2173.6
18018.6,6222.91,2162.1
18111.5,6315.79,2159.24
18204.3,6408.67,2144.82
18297.2,6315.79,2143.16
18390.1,6408.67,2128.27
18297.2,6501.55,2119.63
18297.2,6408.67,2119.63
18390.1,6501.55,2102.81
18483,6594.43,2096.03
18390.1,6594.43,2093.91
18483,6687.31,2082.41
18575.9,6780.19,2075.29
18668.7,6780.19,2068.12
18761.6,6780.19,2065.99
18854.5,6873.07,2050.77
18947.4,6873.07,2050.5
19040.2,6965.94,2040.53
19133.1,6965.94,2026.71
